Program,Gender,Age,Organization,Parents,Food_Lodging,Transport,Entertainment,CellCost,Sleep,SocialMedia,StudyHours,WorkHours,Traveled_Outside,Tuition,Coffee_Daily,Height (cm),Weight (kg),Prev_Monthly_Salary,Expected_Monthly_Salary,BMI
Babi,Male,32.0,. Large Corporation,No,,40.0,350.0,40.0,8.0,2.0,2.0,40.0,Yes,Yes,0.0,168.0,74.0,4000.0,6500.0,26.218820861678008
Babi,Male,27.0,. Large Corporation,No,650.0,50.0,50.0,86.0,8.0,10.0,20.0,40.0,Yes,Yes,2.0,180.0,87.0,4000.0,5000.0,26.85185185185185
Babi,Female,29.0,. Large Corporation,No,2355.0,,500.0,50.0,7.0,1.0,12.0,35.0,Yes,No,1.0,157.0,75.0,4410.0,5940.0,30.427197857925268
Bitman,Male,25.0,. Large Corporation,No,2000.0,400.0,500.0,15.0,5.0,15.0,7.0,26.0,Yes,Yes,1.0,170.0,81.0,1200.0,6000.0,28.027681660899656
Bitman,Male,28.0,. Small Company,No,1000.0,40.0,100.0,36.0,7.0,4.0,5.0,20.0,Yes,Yes,0.0,178.0,82.0,2880.0,4000.0,25.88057063502083
Bitman,Male,26.0,. Large Corporation,No,1500.0,0.0,500.0,55.0,6.5,7.0,16.0,20.0,Yes,Yes,1.0,181.0,83.0,2600.0,4000.0,25.33500198406642
Bitman,Female,28.0,. Large Corporation,No,3700.0,0.0,700.0,45.0,9.0,1.0,20.0,15.0,Yes,No,2.0,158.0,49.0,3000.0,6500.0,19.62826470116968
Babi,Male,34.0,. Large Corporation,No,1200.0,50.0,200.0,60.0,6.0,5.0,10.0,0.0,Yes,Yes,2.0,185.0,81.0,5000.0,6000.0,23.66691015339664
Babi,Female,26.0,. Large Corporation,No,3000.0,30.0,500.0,50.0,7.0,3.0,12.0,40.0,Yes,Yes,1.0,163.0,58.0,6000.0,8000.0,21.829952199932254
Babi,Female,27.0,. Large Corporation,Yes,300.0,50.0,100.0,50.0,6.0,15.0,10.0,40.0,Yes,Yes,0.0,154.0,60.0,4000.0,6000.0,25.2993759487266
Babi,Female,24.0,. Small Company,Yes,1600.0,80.0,50.0,50.0,7.0,10.0,10.0,50.0,Yes,Yes,1.0,153.0,52.0,4000.0,5000.0,22.21367849972233
Babi,Male,36.0,. Non-profit or Government Agency,No,3000.0,50.0,,50.0,8.0,1.0,10.0,20.0,Yes,Yes,0.0,179.0,70.0,6000.0,6500.0,21.847008520333322
Babi,Male,23.0,. Large Corporation,Yes,2500.0,200.0,300.0,50.0,8.0,10.0,12.0,0.0,Yes,No,0.0,175.0,63.0,4500.0,5000.0,20.571428571428573
Babi,Male,26.0,. Small Company,No,300.0,20.0,20.0,40.0,8.0,35.0,7.0,12.0,No,Yes,2.0,180.0,94.0,0.0,4500.0,29.012345679012345
Babi,Male,28.0,. Large Corporation,No,2000.0,100.0,200.0,70.0,8.0,30.0,15.0,40.0,No,Yes,0.0,180.0,91.0,4500.0,7000.0,28.086419753086417
Bitman,,15.0,. Large Corporation,Yes,800.0,0.0,100.0,100.0,9.0,5.0,2.5,2.0,No,No,5.0,167.0,60.0,0.0,5000.0,21.513858510523864
Bmgt,Male,27.0,. Small Company,Yes,2500.0,300.0,100.0,66.0,6.0,10.0,7.0,0.0,Yes,Yes,1.0,175.0,70.0,4500.0,5000.0,22.857142857142858
Bitman,Female,27.0,. Non-profit or Government Agency,No,1300.0,0.0,150.0,60.0,7.0,20.0,40.0,20.0,Yes,No,1.0,153.0,48.0,2000.0,4000.0,20.504933999743688
Babi,Male,23.0,. Large Corporation,Yes,800.0,46.0,200.0,45.0,9.0,15.0,20.0,20.0,Yes,Yes,1.0,185.0,81.0,3500.0,5500.0,23.66691015339664
Babi,Male,28.0,. Non-profit or Government Agency,Yes,800.0,270.0,100.0,40.0,6.5,5.0,12.0,37.5,Yes,Yes,0.0,171.0,72.0,3600.0,4000.0,24.622960911049557
Babi,Female,35.0,. Non-profit or Government Agency,No,5000.0,,80.0,130.0,6.0,4.0,14.0,0.0,Yes,No,0.0,167.0,77.0,0.0,5000.0,27.60945175517229
Babi,Male,24.0,. Large Corporation,No,2500.0,50.0,200.0,78.0,7.0,20.0,10.0,40.0,Yes,Yes,1.0,174.0,65.0,5500.0,6300.0,21.469150482230148
Babi,Female,25.0,. Small Company,Yes,2000.0,120.0,70.0,65.0,7.5,7.0,6.0,37.0,Yes,No,2.0,168.0,68.0,5000.0,5500.0,24.092970521541954
Babi,Male,35.0,. Non-profit or Government Agency,No,2000.0,100.0,500.0,100.0,7.0,1.5,20.0,25.0,Yes,No,1.0,178.0,82.0,5700.0,6500.0,25.88057063502083
Babi,Male,33.0,. Large Corporation,Yes,1500.0,40.0,100.0,45.0,6.0,20.0,7.0,40.0,Yes,Yes,0.0,178.0,80.0,5600.0,7000.0,25.24933720489837
Babi,Female,28.0,. Large Corporation,No,,,90.0,40.0,6.0,20.0,20.0,0.0,Yes,Yes,0.0,165.0,47.0,4200.0,6000.0,17.263544536271812
Babi,Male,25.0,. Large Corporation,No,2500.0,60.0,50.0,42.0,7.0,12.0,20.0,0.0,Yes,No,1.0,178.0,80.0,4000.0,5000.0,25.24933720489837
Babi,Male,23.0,. Non-profit or Government Agency,Yes,1000.0,50.0,100.0,45.0,7.5,3.0,12.0,0.0,Yes,No,1.0,182.0,79.0,0.0,2500.0,23.849776597029344
Bitman,Male,25.0,. Large Corporation,No,1500.0,0.0,10.0,50.0,6.0,1.0,10.0,1.0,Yes,Yes,1.5,180.0,80.0,3500.0,5000.0,24.691358024691358
Bmgt,Female,27.0,. Large Corporation,No,1200.0,150.0,10.0,30.0,5.0,2.0,10.0,15.0,Yes,No,1.0,168.0,68.0,1400.0,4000.0,24.092970521541954
Babi,Male,28.0,. Large Corporation,No,1200.0,50.0,200.0,60.0,7.0,10.0,10.0,20.0,Yes,No,1.0,180.0,78.0,0.0,4000.0,24.074074074074073
Babi,Female,35.0,. Non-profit or Government Agency,No,5000.0,100.0,400.0,200.0,6.0,14.0,28.0,0.0,Yes,Yes,0.0,167.0,77.0,0.0,5000.0,27.60945175517229
Babi,Female,26.0,. Large Corporation,Yes,100.0,0.0,50.0,,6.0,6.0,5.0,12.0,Yes,No,0.0,152.4,110.0,0.0,4000.0,47.361205833522774
Babi,,25.0,. Large Corporation,No,1000.0,35.0,50.0,40.0,7.0,12.0,25.0,15.0,Yes,No,1.0,178.0,78.0,0.0,3500.0,24.61810377477591
Babi,Male,23.0,. Small Company,Yes,0.0,20.0,0.0,0.0,6.5,35.0,16.0,0.0,Yes,No,0.0,179.0,71.0,0.0,4200.0,22.15910864205237
Babi,Male,36.0,. Non-profit or Government Agency,No,2000.0,200.0,200.0,80.0,8.0,4.0,15.0,20.0,Yes,Yes,2.0,178.0,82.0,5700.0,6500.0,25.88057063502083
Babi,Male,32.0,. Non-profit or Government Agency,No,3200.0,80.0,400.0,90.0,6.0,12.0,4.0,40.0,Yes,Yes,2.0,173.0,93.0,4400.0,7400.0,31.073540713020815
Babi,Male,29.0,. Large Corporation,Yes,500.0,200.0,100.0,40.0,6.0,5.0,8.0,37.5,Yes,Yes,0.5,171.0,73.0,3600.0,5000.0,24.96494647925858
Babi,Female,21.0,. Large Corporation,No,2500.0,100.0,100.0,100.0,7.0,10.0,8.0,0.0,Yes,Yes,3.0,178.0,70.0,3000.0,5000.0,22.093170054286073
Gcba,Male,33.0,. Non-profit or Government Agency,Yes,1200.0,40.0,200.0,35.0,6.0,25.0,8.0,0.0,Yes,Yes,0.0,179.0,85.0,0.0,6500.0,26.528510346119035
Babi,Male,24.0,. Large Corporation,No,3000.0,40.0,250.0,78.0,7.0,30.0,15.0,40.0,Yes,Yes,1.0,172.0,53.0,5500.0,5500.0,17.915089237425637
Babi,Male,24.0,. Large Corporation,No,1500.0,50.0,200.0,40.0,10.0,10.0,15.0,30.0,Yes,Yes,1.0,187.0,81.0,2500.0,5000.0,23.163373273470786
Babi,Male,30.0,. Large Corporation,No,2000.0,45.0,100.0,30.0,8.0,10.0,15.0,40.0,Yes,Yes,2.0,175.0,65.0,5000.0,6000.0,21.224489795918366
